DocNum,CardCode,DocDate,DocTotal,LineNum,ItemCode,ItemDescription,Quantity,Price,LineTotal,DiscountPercent
1714,M00583,2026-06-03T00:00:00Z,36520,0,10217385,TimeWise® Daytime Defender Sunscreen Broad Spectrum SPF 30,8,1368.6441,10949.15,50
1714,M00583,2026-06-03T00:00:00Z,36520,1,10072825,Deep CC Cream Sunscreen Broad Spectrum SPF 15 (medicamento que se vende sin receta),2,885.5932,1771.19,50
1714,M00583,2026-06-03T00:00:00Z,36520,2,10072824,Medium to Deep CC Cream Sunscreen Broad Spectrum SPF 15 (medicamento que se vende sin receta),2,885.5932,1771.19,50
1714,M00583,2026-06-03T00:00:00Z,36520,3,10099978,Bronze W 100 TimeWise® Matte 3D Foundation,8,1046.6102,8372.88,50
1714,M00583,2026-06-03T00:00:00Z,36520,4,10252246,Golden Copper Rubor,2,563.5593,1127.12,50
1714,M00583,2026-06-03T00:00:00Z,36520,5,10175896,Medium Beige Mary Kay® Silky Setting Powder,1,805.0847,805.08,50
1714,M00583,2026-06-03T00:00:00Z,36520,6,10217404,"TimeWise® 4-in-1 Cleanser, Combinada/Grasa",2,1046.6102,2093.22,50
1714,M00583,2026-06-03T00:00:00Z,36520,7,10217391,"TimeWise® Antioxidant Moisturizer, Combinada/Grasa",2,1368.6441,2737.29,50
1714,M00583,2026-06-03T00:00:00Z,36520,8,10228677,Tickets de venta – 09/23 español (Paquete de 50),2,110.1695,220.34,0
1714,M00583,2026-06-03T00:00:00Z,36520,9,10249219,Bolsa de compras – Plástico MK tamaño Pequeño (Paquete de 100),1,423.7288,423.73,0
1729,F00360,2026-06-05T00:00:00Z,26865,0,10072682,Crema nocturna extra emoliente,1,724.5763,724.58,50
1729,F00360,2026-06-05T00:00:00Z,26865,1,10160886,Agua Micellar Mary Kay®,2,724.5763,1449.15,50
1729,F00360,2026-06-05T00:00:00Z,26865,2,10094148,Clear Proof® Deep-Cleansing Charcoal Mask,2,1046.6102,2093.22,50
